Número,Empresa,Teléfono,Dirección,E-mail,WEB,Contacto,Servicios,Materiales,Aceites y Lubricantes Usados,Aceite Vegetal Usado,Acero,Aluminio de todo tipo,Baterías Automotrices Plomo-Acido,Baterías Automotrices Plomo-Gel,Botellas de Vidrio  de Licor,Botellas de Vidrio Genéricas,Bronce,Cartón,Cartuchos Vacíos de Tinta y Tóner,Cobre,Desperdicios de Cuero,Desperdicios Textiles,Hierro,Lata de bebidas (Aluminio),Libros,Llantas,Materia Orgánica,Papel de oficina,Papel periódico,Policarbonato (PP),Policroruro de Vinilo (PVC),Polietileno de Alta Densidad (HDPE),Polietileno de Baja Densidad (LDPE),Polietileno Tereftalato (PET),Polipropileno (PP),Revistas,Vidrio
12,DISTRIBUIDORA Y RECICLADORA TEXTIL,2227-0430,"Col. Las Flores Calle José Matías Delgado No9 Bis Soyapango, San Salvador, Soyapango",no tienen,-,Sra. Mary de Gálvez,Compra y venta de desperdicios textiles,"DESPERDICIOS TEXTILES, TRAPOS DE LIMPIEZA, RETAZOS Y TRAPOS DE ALGODÓN",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
13,ECO SISTEMAS INTEGRALES S.A. DE C.V.,2264-6384                2264-6385                2264-1488,"Prolongación 75 Avenida Sur Pj. B, #1-B Col. Esacalón, San Salvador",ecosistemas@integra.com.sv,-,Dr. Salvador Alfredo Eguizabal,Compra y venta de materiales reciclables,"PLASTICO (PET), Y ALUMINIO",,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,
14,ECOAMIGOS DEL PLASTICO / ASIPLASTIC,2289-1655                2289-1660 2245-2177 22787190,"Calle L-2, Zona Industrial Merliot, Frente  a Pan Bimbo, La Libertad",cesarmelara@integra.com.sv ricardoaugspurg@plastitec.com.sv,www.ecoamigosdelplastico.org,Sr. César Melara                     Sr. Ricardo Augspurg,Recepción de materiales plásticos para reciclar,"POLIETILENO DE ALTA  Y BAJA DENSIDAD, POLIPROPILENO, POLICARBONATO, POLICLORURO DE VINILO, POLIETILENO TEREFTALATO",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
15,ECOLOGIA Y TECNOLOGIA S.A.,2505-0000,"Urb. Madre Selva, Edificio Cessa, Antiguo Cuscatlán",amilcar.flores@cessa.com.sv,www.cessa.com,Sr. Amilcar Flores                                   Sr. Carlos Escobar                   Sr. Gonzalo Flores,Recepción de materiales reciclables,"ACEITE USADO, LLANTAS, PLASTICOS, MEDICINAS VENCIDAS, RESIDUOS DE MANTENIMIENTO DE MAQUINARIA",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
16,ECOTONER,2263-6800,"Calle Ramón Belloso No. 5 Col. Escalón, San Salvador",ecotoner2001@yahoo.com,www.eco-toner.net,Sra. Yanira Ingles,Recolección y compra de cartuchos vacíos de tinta y tóner,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
17,EL COCAL - NEJAPA,7994-7828,Carretera A Quezaltepeque,no tienen,-,Sr. Reynaldo Hurtado                                Sr. Jaime Portillo,Recolección de materiales reciclables,"PET, ALUMINIO, LATA, PAPEL, METALES FERROSOS Y NO FERROSOS",,,,1,1,,,,1,,,1,,,1,1,1,,,1,,1,1,1,1,1,1,1,
18,ELIZABETH RIVERA,2341-4025                  7730-2903,-,no tienen,-,Sra. Elízabeth Rivera,Recolección y compra/venta de papel y cartón,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,
19,FIBERTEX S.A. DE C.V.,2254-1950 2294-7783 22940767(FAX),"Calle Nueva Y Calle Palmira Edif. Matex, Costado Sur Col. Santa Lucia Ilopango, San Salvador",fibertex@navegante.com.sv,www.fibertex.com.sv,Ing. Sandra Chinchilla de Ayala,Recolección y compra/venta de desperdicios textiles,"DESPERDICIOS TEXTILES: DESPERDICIOS DEL PROCESO DE HILATURA, HILASA, TELA CRUDA, TELA TERMINADA, DESPERDICIO DEL PROCESO DE CORTE Y OTROS",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
20,FIBRAS RECICLADAS S.A. DE C.V.,2280-0131,"Col. América, 10 Av Sur Pje. Llerena No 1822",fibresa@yahoo.es,-,Sr. Álvaro Ramentol Imberton,Recolección de desperdicios de cuero,DESPERDICIOS DE CUERO,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
21,FUNDACION ABA,2254-0814,"Final 13 Calle Oriente, Col. Bosques de La Paz  ",f.aba@navegante.com.sv,-,Sra. Aída Nieto,Recolección de materiales reciclables,"PAPEL Y CARTON, MeTales FERREOS, PLASTICOS Y PET",,,,,,,,,,1,,,,,1,,1,,,1,,1,1,1,1,1,1,1,
22,FUNDACION RECICLADORA DE RESIDUOS PLASTICOS (RECIPLAST),2260-6606             2260-6605,"Alameda Roosevelt Edificio IPSFA, 4o Nivel",cs@swisscontact.org.sv,www.swisscontact.org.sv,Sra. Claudia Salazar,Recolección de materiales reciclables y educación para el reciclaje,"PLASTICOS (PP,PET,PEBD,PEAD), LATAS Y PAPEL",,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,
23,GARBAL / IBERPLASTIC,2224-0526              2298-2931                         2314-0645,"Blvd. Venezuela #2731, San Salvador.                                      Km 24.5 Carretera Al Puerto De La Libertad, La Libertad",jaime@garbal.com,-,Ing. Jaime Antonio Quintanilla,Recolección de plásticos reciclables,"PET, HDPE, LDPE, LLDPE, PP, PVC FLEXIBLES",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
24,HISPALIA S.A. DE C.V.,2216-2639             2216-2757             2216-0442,"Calle Troncal del Norte, Km 9 1/2, Ciudad Degado",hispalia@elsalvador.com,-,Sr.René Martin Calderón,Reciclaje de papel y cartón,PAPEL Y CARTON,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,1,
25,IASA S.A. DE C. V.,2221-0520 2221-0521 22210519(FAX),"Calle Gerardo Barrios, #1436, entre 25 y 27 Av. Sur, San Salvador",iasa.admon@integra.com.sv,-,Sra. Nancy Mayora,Tratamiento de desechos industriales y urbanos,DESECHOS INDUSTRIALES Y URBANOS,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
26,IMACASA,2447-3077                2447-8814,"Fnl. Calle Libertad Poniente, Parque Industrial Santa Lucía, Santa Ana",elsalvador@imacasa.com                     jgochez@imacasa.com,www.imacasa.com,Ing. Julio Góchez,Recolección y transporte de aceite usado ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,INDUREC,7885-9733,"Final Calle Rafael Gutierrez, Antiguo Rastro, #7, Ilopango.",ed-alas@hotmail.com,-,Sr. Edgar Enrique Alas García,Maquilado de plásticos,"POLIETILENO DE ALTA Y BAJA DENSIDAD, POLIPROPILENO",,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,
28,INDUSTRIAS CAYAHUANCA,2225-0901                 2309-3857,"Col. Libertad, Av. Bolivar #222, San Salvador",luisayalanoyola@yahoo.com,-,Sr. Alex Ayala                                            Sr.Luis Ayala,Recepción de plástico tipo HDPE y LDPE,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
29,INDUSTRIAS DE RECICLAJE SALVADOREÑA S.A. (INDRESA),2225-5918  2225-6667  22254634(FAX),"Bo. San Miguelito 23 Calle Oriente y 6 Av. Norte No 714, San Salvador",gerencia@indresa.com.sv                    trafico@indresa.com.sv,-,Sr.Víctor Chizmar                      Sr. Vladimir Martínez,Recolección y compra de metales no ferrosos,METALES NO FERROSOS,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,
30,INDUSTRIAS LA CONSTANCIA S.A. DE C.V.,2231-5153 2231-5444            22315152(FAX),"Paseo Independencia #526, San Salvador",daniel.valdivieso@ca.sabmiller.com,www.laconstancia.com,Ing. Daniel S. Valdivieso Ch.,Recolección de PET,"LATAS POST INDUSTRIAL, PLASTICOS Y PET POST CONSUMO",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
31,INSOEX,2227-1612,"Col. Florencia, Calle Las Lilas #252, Soyapango",benigue@yahoo.com,-,Sra. Verónica Guerra,Reciclaje de plásticos,POLIPROPILENO Y POLIETILENO DE ALTA Y BAJA DENSIDAD,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,
32,INVEMA,2281-1511              2281-1514              ,"38 Av. Sur y Blvd. Venezuela #2011, Bo. Lourdes, San Salvador",alfonsobarrera@invemascrap.com,-,Lic. Alonso Barrera,Compra y venta de materiales reciclables,PLASTICOS Y METALES,,,1,1,,,,,1,,,1,,,1,1,,,,,,,,,,1,,,
33,INVERSIONES CRISSAL,2261-2326 2261-2322 2282-1901,"Av Castro Morán No 60, Mejicanos.                              Alameda Juan Pablo II, Col Escalón No 310.",no tienen,-,Sr. Eduardo Villalobos         Sr. Balmore López,Compra y venta de materiales reciclables,,,,1,1,,,,,1,,,1,,,1,1,1,,,1,1,,,,,,,1,
34,INVERSIONES REPACESA,2261-1079                2261-1072                  2261-1063 2261-1070,"Prolongación Alameda Juan Pablo II, Bodega San Jorge #3, San Salvador",irepacesa@navegante.com.sv,www.repacesa.com,Ing. Erick Antonio Amaya Guillen,Compra y venta de papel y aluminio,"PAPEL Y CARTON, LATAS DE ALUMINIO",,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,,1,
57,INVINTIR S.A. DE C.V.,2528-9800,,invintir@telesal.net,,Ing.Alfredo Borgonovo,,"CHATARRA, HIERRO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"IRCA, Agencia MOYSI-RAMIZ",2222-8905                 2222-9883,"Boulevard Distrito Comercial Central 11 Av Sur No 309, San Salvador",irca@mail.com                          ruthpriscilagh@hotmail.com,-,Licda. Ruth Priscila Ramírez,Compra y venta de materiales reciclables,,,,1,1,,,,,1,,,1,,,1,1,,,,1,,,,1,1,1,,,
36,JULIO SANTILLANA,2277-7457,"Colonia Santa María Pasaje 2, Casa #23, Soyapango",no tienen,-,Sr. Julio Santillana,Recolección de materiales reciclables,POLIPROPILENO y  POLIETILENO DE BAJA Y ALTA DENSIDAD,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,
37,KIMBERLY CLARK,2319-4513                2319-4585,"Km 23 1/2, Carretera A San Juan Opico, La Libertad",fpozas@kcc.com,www.kcc.com,Sr. Francisco Pozas,Reciclaje de papel y cartón,PAPEL Y CARTON,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
38,LIZA S.A.,2241-0457,"6 C. Ote. y Fnl. Av. San Martín No. 4-7, Santa Tecla",mticas@liza.com.sv,,Sra. Margarita de Borja,Recepción de botellas de vidrio,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
39,LUIS ALBERTO HERNANDEZ ALDANA,2345-6577            7852-0345,-,no tienen,-,Sr. Luis Alberto Hernández Aldana,Recolección y compra/venta de papel y cartón,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,
40,MARCEYA S.A. DE C.V.,2216-7178               2216-7186                2216-7192,"Carretera A Quezaltepeque, Km. 13, Resd. Las Margaritas, Bodega de Reciclaje, Apopa.",info@marceya.com,www.marceya.com,Ing. César Reyes,Recolección y compra/venta de todo tipo de papel,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,
41,MATRICERIA INDUSTRIAL ROXI,2276-9888              2286-5811 2223-7333,"Carretera Troncal del Norte Km 7 1/2, Ciudad Delgado",no tienen,-,Sr. Antonio Salas                            Sr. José Luis Barrientos,Reciclaje de plásticos,PLASTICO,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,
42,PANAMERICANA DE RECICLAJES,2218-4664,"Final Calle Campos No 404 Boulevard San Jancinto, San Salvador",chamber_cim@hotmail.com,-,Sra. Claudia Vásquez,Compra y venta de desperdicios textiles,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
43,PLASTICOS EL PANDA S.A. DE C.V.,2278-8628                                        2278-8553                 2338-4328,"Calle El Pedregal, Pol. A-1 No. 16 Ciudad Merliot",panda2001@123.com.sv,-,Lic. Miguel Ángel Argueta,Reciclaje de plásticos,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
44,PROCOMES,2274-8345            2284-5304            2227-0029 ,"Col. Satelite, Pasaje Jupiter # 35-J, San Salvador                Calle Antigua a Tonacatepeque No. 125-A. Soyapango",procomes@salnet.net,-,Sra. Cristina Lovo                                                   Sra. Gilma de Calderón,Recolección de materiales reciclables,"PAPEL, PLASTICOS, METALES NO FERROSOS Y CARTON",,,,1,,,,,1,,,1,,,,1,,,,1,,1,1,1,1,1,1,1,
45,PROMA,2271-5832  7967-8296,"3a Calle Poniente # 924, San Salvador",promaongs@yahoo.com,,Sr. Nelson Antonio Deras Cerón,,"PAPEL, PLASTICO, ALUMINIO, VIDRIO Y TODA CLASE DE PLANTAS",,,,1,,,,,,,,,,,,1,1,,,1,,1,1,1,1,1,1,1,
46,RECICLADORA DON BOSCO,2277-6524,"Col. Mendez No. 3, Fte. a Ciudadela Don Bosco, Soyapango",recicladb@yahoo.com,-,Sr. Cruz Adalberto Romero,Recolección y compra/venta de papel,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,
47,RECICLAJES S.A. DE C.V.,2277-9154,"Km 7 1/2 Boulevard del Ejercito y Calle Prusia No128, Soyapango",no tienen,,Sra. Diana Paulina de Hernández,,CARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SALINAS RIVERA S.A. DE C.V.,2334-0654                2334-4948,"Km. 62, Carretera Litoral, Municipio de Zacatecoluca, La Paz",cyrius@elsalvador.com,-,Sra. Esperanza Pineda                          Sr. Wilfredo Salinas,Recepción de plástico tipo HDPE y LDPE,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
49,SALVACOLA,2234-0000                2226-6122                2234-0068,"Col. La Rabida, 27 C. Oriente # 229, San Salvador",lemus@lacascada.com.sv,-,Sr. Orlando Rosales,Recepción de material plástico tipo PET,"PET, BOTELLAS PLASTICAS Y PELICULA DE POLIETILENO",,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
50,SALVAPLASTIC S.A. DE C.V.,2243-0200             2243-2067,"Zona Industrial Plan de La Laguna, Antiguo Cuscatlén, La Libertad",m.rivas@salvaplastic.com.sv,-,Sr.Marcos Arístides Rivas,Reciclaje de plásticos,"POLIETILENO DE ALTA Y BAJA DENSIDAD EN INYECCION, SOPLADO Y EXTRUIDO, POLIPROPILENO (INYECCION Y SOPLADO), PVC FLEXIBLE, DESECHOS QUE GENERAN LAS INDUSTRIAS DE PLASTICO Y MAQUILAS.                       TODO POST INDUSTRIAL",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
51,SELVA NEGRA,2229-2534,"Residencial San Rafael, Senda 3 Sur No 14, Santa Tecla",mxselvanegra@yahoo.com,-,Sr. Max Baides,Recolección y compra de cartuchos vacíos de tinta y tóner,CARTUCHOS VACIOS DE TINTA Y TONER PARA IMPRESORAS,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
52,SUMADATA,2260-4763 7797-1165,"1a Calle Poniente y final 63 Av. Norte Edificio LaA Montaña # 22 Col. Escalón, San Salvador",rapalo@navegante.com.sv  sumasa_es@yahoo.com,-,Sr. Rafael Alejandro Palacios,Recolección y compra de cartuchos vacíos de tinta y tóner,CARTUCHOS VACIOS DE TINTA Y TONER PARA IMPRESORAS,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
53,SUN ENERGY CORP,2447-9343 7706-1271,"6 Av. Norte y 28 Calle Poniente # B4, Santa Ana",sec@sunenergycorp.com,-,Ing. Manuel Cerrato,Recolección y compra de aceite vegetal usado,"ACEITES VEGETALES USADOS GENERADOS EN RESTAURANTES, HOTELES; HOSPITALES, ETC.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,TAMCIS S.A. DE C.V.,2228-4085                  7886-4891 ,Calle Walter Soundy # 2-6 Santa Tecla,lu.tamayo@gmail.com,-,Sr. Luis Tamayo                                  Sr. Francisco Hernández,Recolección y compra/venta de todo tipo de papel y cartón,,,,,1,,,,,,1,,,,,,1,,,,1,1,1,1,1,1,1,1,1,
58,TERMOENCOGIBLES,PBX:(503)            2212-7300           2278-0029 FAX:(503) 2278-2224,"Calle L-3, Polígono D, Lotes 1 y 2 Zona Industrial Ciudad Merliot, La Libertad, El Salvador C.A.",ventas@termo.com.sv,www.termo.com.sv,"Ing.Rodrigo Tona, Gerente General",Recolección de bolsas de polietileno de baja densidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TEXTILES SAN ANDRES / HILASAL,2338-4099              2338-4488,"Km 32 Carretera a Santa Ana, San Juan Opico, La Libertad",otto.cabrera@hilasal.com,-,Sr.Otto Cabrera,Reciclaje de aceite usado y otros materiales,"ACEITE USADO, DESPERDICIOS TEXTILES (MAQUILA), MADERA, PAPEL Y CARTON",1,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,1,
56,UNICA,2211-4059,"Final Calle El Progreso Vía Carmela Pasaje 2, Casa No. 2 Mejicanos, San Salvador",unicaservicio@integra.com.sv,-,Sr. Fernando Flores,Recolección de materiales reciclables y desechos sólidos comunes,,,,1,1,,,,,1,,,1,,,1,1,1,,,1,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
